RBI_State,RBI_District,Banking_Outlets,Census_2011_State,Census_2011_District,Direct_Census_Match
ANDAMAN & NICOBAR ISLANDS,NICOBAR,4,ANDAMAN & NICOBAR ISLANDS,NICOBARS,True
ANDAMAN & NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,8,ANDAMAN & NICOBAR ISLANDS,NORTH & MIDDLE ANDAMAN,True
ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,45,ANDAMAN & NICOBAR ISLANDS,SOUTH ANDAMAN,True
ANDHRA PRADESH,ALLURI SITHARAMA RAJU,22,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,ANAKAPALLI,126,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,ANANTHAPURAMU,155,ANDHRA PRADESH,ANANTAPUR,True
ANDHRA PRADESH,ANNAMAYYA,126,ANDHRA PRADESH,CHITTOOR,True
ANDHRA PRADESH,BAPATLA,148,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,CHITTOOR,133,ANDHRA PRADESH,CHITTOOR,True
ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,170,ANDHRA PRADESH,DR. B.R. AMBEDKAR KONASEEMA,False
ANDHRA PRADESH,EAST GODAVARI,226,ANDHRA PRADESH,EAST GODAVARI,True
ANDHRA PRADESH,ELURU,185,ANDHRA PRADESH,WEST GODAVARI,True
ANDHRA PRADESH,GUNTUR,314,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,KAKINADA,235,ANDHRA PRADESH,EAST GODAVARI,True
ANDHRA PRADESH,KRISHNA,269,ANDHRA PRADESH,KRISHNA,True
ANDHRA PRADESH,KURNOOL,149,ANDHRA PRADESH,KURNOOL,True
ANDHRA PRADESH,MARKAPURAM,79,ANDHRA PRADESH,MARKAPURAM,False
ANDHRA PRADESH,NANDYAL,132,ANDHRA PRADESH,KURNOOL,True
ANDHRA PRADESH,NTR,244,ANDHRA PRADESH,KRISHNA,True
ANDHRA PRADESH,PALNADU,153,ANDHRA PRADESH,GUNTUR,True
ANDHRA PRADESH,PARVATHIPURAM MANYAM,54,ANDHRA PRADESH,VIZIANAGARAM,True
ANDHRA PRADESH,POLAVARAM,19,ANDHRA PRADESH,POLAVARAM,False
ANDHRA PRADESH,PRAKASAM,119,ANDHRA PRADESH,PRAKASAM,True
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,223,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,True
ANDHRA PRADESH,SRI SATHYA SAI,114,ANDHRA PRADESH,ANANTAPUR,True
ANDHRA PRADESH,SRIKAKULAM,155,ANDHRA PRADESH,SRIKAKULAM,True
ANDHRA PRADESH,TIRUPATI,229,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,True
ANDHRA PRADESH,VISAKHAPATNAM,363,ANDHRA PRADESH,VISAKHAPATNAM,True
ANDHRA PRADESH,VIZIANAGARAM,166,ANDHRA PRADESH,VIZIANAGARAM,True
ANDHRA PRADESH,WEST GODAVARI,241,ANDHRA PRADESH,WEST GODAVARI,True
ANDHRA PRADESH,Y.S.R.,149,ANDHRA PRADESH,Y.S.R.,True
ARUNACHAL PRADESH,ANJAW,2,ARUNACHAL PRADESH,ANJAW,True
ARUNACHAL PRADESH,BICHOM,1,ARUNACHAL PRADESH,BICHOM,False
ARUNACHAL PRADESH,CHUNGLANG,7,ARUNACHAL PRADESH,CHANGLANG,True
ARUNACHAL PRADESH,DIBANG VALLEY,1,ARUNACHAL PRADESH,DIBANG VALLEY,True
ARUNACHAL PRADESH,EAST KAMENG,6,ARUNACHAL PRADESH,EAST KAMENG,True
ARUNACHAL PRADESH,EAST SIANG,11,ARUNACHAL PRADESH,EAST SIANG,True
ARUNACHAL PRADESH,KAMLE,1,ARUNACHAL PRADESH,KAMLE,False
ARUNACHAL PRADESH,KEYI PANYOR,1,ARUNACHAL PRADESH,KEYI PANYOR,False
ARUNACHAL PRADESH,KRA DAADI,1,ARUNACHAL PRADESH,KRA DAADI,False
ARUNACHAL PRADESH,KURUNG KUMEY,1,ARUNACHAL PRADESH,KURUNG KUMEY,True
ARUNACHAL PRADESH,LEPARADA,2,ARUNACHAL PRADESH,LEPARADA,False
ARUNACHAL PRADESH,LOHIT,5,ARUNACHAL PRADESH,LOHIT,True
ARUNACHAL PRADESH,LONGDING,3,ARUNACHAL PRADESH,LONGDING,False
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,4,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,True
ARUNACHAL PRADESH,LOWER SIANG,1,ARUNACHAL PRADESH,LOWER SIANG,False
ARUNACHAL PRADESH,LOWER SUBANSIRI,6,ARUNACHAL PRADESH,LOWER SUBANSIRI,True
ARUNACHAL PRADESH,NAMSAI,10,ARUNACHAL PRADESH,NAMSAI,False
ARUNACHAL PRADESH,PAKKE KESSANG,2,ARUNACHAL PRADESH,PAKKE KESSANG,False
ARUNACHAL PRADESH,PAPUMPARE,40,ARUNACHAL PRADESH,PAPUM PARE,True
ARUNACHAL PRADESH,SHI-YOMI,2,ARUNACHAL PRADESH,SHI-YOMI,False
ARUNACHAL PRADESH,SIANG,2,ARUNACHAL PRADESH,SIANG,False
ARUNACHAL PRADESH,TAWANG,8,ARUNACHAL PRADESH,TAWANG,True
ARUNACHAL PRADESH,TIRAP,2,ARUNACHAL PRADESH,TIRAP,True
ARUNACHAL PRADESH,UPPER SIANG,2,ARUNACHAL PRADESH,UPPER SIANG,True
ARUNACHAL PRADESH,UPPER SUBANSIRI,3,ARUNACHAL PRADESH,UPPER SUBANSIRI,True
ARUNACHAL PRADESH,WEST KAMENG,11,ARUNACHAL PRADESH,WEST KAMENG,True
ARUNACHAL PRADESH,WEST SIANG,4,ARUNACHAL PRADESH,WEST SIANG,True
ASSAM,BAJALI,11,ASSAM,BAJALI,False
ASSAM,BAKSA,16,ASSAM,BAKSA,True
ASSAM,BARPETA,49,ASSAM,BARPETA,True
ASSAM,BISWANATH,27,ASSAM,SONITPUR,True
ASSAM,BONGAIGAON,30,ASSAM,BONGAIGAON,True
ASSAM,CACHAR,84,ASSAM,CACHAR,True
ASSAM,CHARAIDEO,17,ASSAM,CHARAIDEO,False
ASSAM,CHIRANG,20,ASSAM,CHIRANG,True
ASSAM,DARRANG,31,ASSAM,DARRANG,True
ASSAM,DHEMAJI,25,ASSAM,DHEMAJI,True
ASSAM,DHUBRI,34,ASSAM,DHUBRI,True
ASSAM,DIBRUGARH,110,ASSAM,DIBRUGARH,True
ASSAM,DIMA HASAO,15,ASSAM,DIMA HASAO,True
ASSAM,GOALPARA,32,ASSAM,GOALPARA,True
ASSAM,GOLAGHAT,51,ASSAM,GOLAGHAT,True
ASSAM,HAILAKANDI,23,ASSAM,HAILAKANDI,True
ASSAM,HOJAI,16,ASSAM,NAGAON,True
ASSAM,JORHAT,70,ASSAM,JORHAT,True
ASSAM,KAMRUP,89,ASSAM,KAMRUP,True
ASSAM,KAMRUP METROPOLITAN,264,ASSAM,KAMRUP METROPOLITAN,True
ASSAM,KARBI ANGLONG,18,ASSAM,KARBI ANGLONG,True
ASSAM,KOKRAJHAR,28,ASSAM,KOKRAJHAR,True
ASSAM,LAKHIMPUR,41,ASSAM,LAKHIMPUR,True
ASSAM,MAJULI,9,ASSAM,MAJULI,False
ASSAM,MORIGAON,29,ASSAM,MORIGAON,True
ASSAM,NAGAON,80,ASSAM,NAGAON,True
ASSAM,NALBARI,39,ASSAM,NALBARI,True
ASSAM,SIBSAGAR,50,ASSAM,SIVASAGAR,True
ASSAM,SONITPUR,64,ASSAM,SONITPUR,True
ASSAM,SOUTH SALMARA-MANKACHAR,14,ASSAM,SOUTH SALMARA-MANKACHAR,False
ASSAM,SRIBHUMI,40,ASSAM,KARIMGANJ,True
ASSAM,TAMULPUR,14,ASSAM,DARRANG,True
ASSAM,TINSUKIA,93,ASSAM,TINSUKIA,True
ASSAM,UDALGURI,22,ASSAM,UDALGURI,True
ASSAM,WEST KARBI ANGLONG,5,ASSAM,WEST KARBI ANGLONG,False
BIHAR,ARARIA,81,BIHAR,ARARIA,True
BIHAR,ARWAL,31,BIHAR,ARWAL,True
BIHAR,AURANGABAD,100,BIHAR,AURANGABAD,True
BIHAR,BANKA,76,BIHAR,BANKA,True
BIHAR,BEGUSARAI,134,BIHAR,BEGUSARAI,True
BIHAR,BHAGALPUR,180,BIHAR,BHAGALPUR,True
BIHAR,BHOJPUR,101,BIHAR,BHOJPUR,True
BIHAR,BUXAR,73,BIHAR,BUXAR,True
BIHAR,DARBHANGA,136,BIHAR,DARBHANGA,True
BIHAR,GAYA,177,BIHAR,GAYA,True
BIHAR,GOPALGANJ,76,BIHAR,GOPALGANJ,True
BIHAR,JAMUI,47,BIHAR,JAMUI,True
BIHAR,JEHANABAD,53,BIHAR,JEHANABAD,True
BIHAR,KAIMUR,62,BIHAR,KAIMUR (BHABUA),True
BIHAR,KATIHAR,108,BIHAR,KATIHAR,True
BIHAR,KHAGARIA,57,BIHAR,KHAGARIA,True
BIHAR,KISHANGANJ,52,BIHAR,KISHANGANJ,True
BIHAR,LAKHISARAI,36,BIHAR,LAKHISARAI,True
BIHAR,MADHEPURA,67,BIHAR,MADHEPURA,True
BIHAR,MADHUBANI,128,BIHAR,MADHUBANI,True
BIHAR,MUNGER,72,BIHAR,MUNGER,True
BIHAR,MUZAFFARPUR,225,BIHAR,MUZAFFARPUR,True
BIHAR,NALANDA,108,BIHAR,NALANDA,True
BIHAR,NAWADA,58,BIHAR,NAWADA,True
BIHAR,PASCHIMI CHAMPARAN,106,BIHAR,PASHCHIM CHAMPARAN,True
BIHAR,PATNA,656,BIHAR,PATNA,True
BIHAR,PURBI CHAMPARAN,148,BIHAR,PURBA CHAMPARAN,True
BIHAR,PURNIA,139,BIHAR,PURNIA,True
BIHAR,ROHTAS,107,BIHAR,ROHTAS,True
BIHAR,SAHARSA,63,BIHAR,SAHARSA,True
BIHAR,SAMASTIPUR,161,BIHAR,SAMASTIPUR,True
BIHAR,SARAN,128,BIHAR,SARAN,True
BIHAR,SHEIKHPURA,30,BIHAR,SHEIKHPURA,True
BIHAR,SHEOHAR,25,BIHAR,SHEOHAR,True
BIHAR,SITAMARHI,99,BIHAR,SITAMARHI,True
BIHAR,SIWAN,112,BIHAR,SIWAN,True
BIHAR,SUPAUL,76,BIHAR,SUPAUL,True
BIHAR,VAISHALI,129,BIHAR,VAISHALI,True
CHANDIGARH,CHANDIGARH,229,CHANDIGARH,CHANDIGARH,True
CHHATTISGARH,BALOD,36,CHHATTISGARH,DURG,True
CHHATTISGARH,BALODABAZAR,51,CHHATTISGARH,BALODABAZAR,False
CHHATTISGARH,BALRAMPUR,22,CHHATTISGARH,SURGUJA,True
CHHATTISGARH,BASTAR,59,CHHATTISGARH,BASTAR,True
CHHATTISGARH,BEMETARA,27,CHHATTISGARH,DURG,True
CHHATTISGARH,BIJAPUR,23,CHHATTISGARH,BIJAPUR,True
CHHATTISGARH,BILASPUR,131,CHHATTISGARH,BILASPUR,True
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,24,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,True
CHHATTISGARH,DHAMTARI,49,CHHATTISGARH,DHAMTARI,True
CHHATTISGARH,DURG,156,CHHATTISGARH,DURG,True
CHHATTISGARH,GARIYABAND,25,CHHATTISGARH,GARIYABAND,False
CHHATTISGARH,GAURELA-PENDRA-MARWAHI,11,CHHATTISGARH,GAURELA-PENDRA-MARWAHI,False
CHHATTISGARH,JANJGIR-CHAMPA,55,CHHATTISGARH,JANJGIR - CHAMPA,True
CHHATTISGARH,JASHPUR,42,CHHATTISGARH,JASHPUR,True
CHHATTISGARH,KABEERDHAM,31,CHHATTISGARH,KABEERDHAM,True
CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN-GANDAI,14,CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN-GANDAI,False
CHHATTISGARH,KONDAGAON,19,CHHATTISGARH,BASTAR,True
CHHATTISGARH,KORBA,63,CHHATTISGARH,KORBA,True
CHHATTISGARH,KORIYA,15,CHHATTISGARH,KORIYA,True
CHHATTISGARH,MAHASAMUND,52,CHHATTISGARH,MAHASAMUND,True
CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,29,CHHATTISGARH,MANENDRAGARH-CHIRMIRI-BHARATPUR,False
CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,10,CHHATTISGARH,MOHLA-MANPUR-AMBAGARH CHOUKI,False
CHHATTISGARH,MUNGELI,21,CHHATTISGARH,MUNGELI,False
CHHATTISGARH,NARAYANPUR,7,CHHATTISGARH,NARAYANPUR,True
CHHATTISGARH,RAIGARH,61,CHHATTISGARH,RAIGARH,True
CHHATTISGARH,RAIPUR,289,CHHATTISGARH,RAIPUR,True
CHHATTISGARH,RAJNANDGAON,47,CHHATTISGARH,RAJNANDGAON,True
CHHATTISGARH,SAKTI,19,CHHATTISGARH,JANJGIR - CHAMPA,True
CHHATTISGARH,SARANGARH-BILAIGARH,21,CHHATTISGARH,RAIGARH,True
CHHATTISGARH,SUKMA,12,CHHATTISGARH,DANTEWADA,False
CHHATTISGARH,SURAJPUR,29,CHHATTISGARH,SURGUJA,True
CHHATTISGARH,SURGUJA,43,CHHATTISGARH,SURGUJA,True
CHHATTISGARH,UTTAR BASTAR KANKER,38,CHHATTISGARH,UTTAR BASTAR KANKER,True
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DADRA&NAGAR HAVELI,34,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,True
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DAMAN,19,DAMAN & DIU,DAMAN,True
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,DIU,11,DAMAN & DIU,DIU,True
GOA,KUSHAVATI,44,GOA,KUSHAVATI,False
GOA,NORTH GOA,223,GOA,NORTH GOA,True
GOA,SOUTH GOA,182,GOA,SOUTH GOA,True
GUJARAT,AHMEDABAD,803,GUJARAT,AHMADABAD,True
GUJARAT,AMRELI,116,GUJARAT,AMRELI,True
GUJARAT,ANAND,242,GUJARAT,ANAND,True
GUJARAT,ARAVALLI,66,GUJARAT,ARAVALLI,False
GUJARAT,BANAS KANTHA,88,GUJARAT,BANAS KANTHA,True
GUJARAT,BHARUCH,158,GUJARAT,BHARUCH,True
GUJARAT,BHAVNAGAR,153,GUJARAT,BHAVNAGAR,True
GUJARAT,BOTAD,36,GUJARAT,BOTAD,False
GUJARAT,CHHOTAUDEPUR,62,GUJARAT,CHHOTAUDEPUR,False
GUJARAT,DANGS,14,GUJARAT,THE DANGS,True
GUJARAT,DEVBHUMI DWARKA,48,GUJARAT,DEVBHUMI DWARKA,False
GUJARAT,DOHAD,56,GUJARAT,DOHAD,True
GUJARAT,GANDHINAGAR,204,GUJARAT,GANDHINAGAR,True
GUJARAT,GIR SOMNATH,78,GUJARAT,GIR SOMNATH,False
GUJARAT,JAMNAGAR,120,GUJARAT,JAMNAGAR,True
GUJARAT,JUNAGADH,137,GUJARAT,JUNAGADH,True
GUJARAT,KACHCHH,220,GUJARAT,KACHCHH,True
GUJARAT,KHEDA,180,GUJARAT,KHEDA,True
GUJARAT,MAHESANA,175,GUJARAT,MAHESANA,True
GUJARAT,MAHISAGAR,50,GUJARAT,MAHISAGAR,False
GUJARAT,MORBI,90,GUJARAT,MORBI,False
GUJARAT,NARMADA,35,GUJARAT,NARMADA,True
GUJARAT,NAVSARI,148,GUJARAT,NAVSARI,True
GUJARAT,PANCH MAHALS,87,GUJARAT,PANCH MAHALS,True
GUJARAT,PATAN,64,GUJARAT,PATAN,True
GUJARAT,PORBANDAR,54,GUJARAT,PORBANDAR,True
GUJARAT,RAJKOT,316,GUJARAT,RAJKOT,True
GUJARAT,SABAR KANTHA,99,GUJARAT,SABAR KANTHA,True
GUJARAT,SURAT,488,GUJARAT,SURAT,True
GUJARAT,SURENDRANAGAR,97,GUJARAT,SURENDRANAGAR,True
GUJARAT,TAPI,47,GUJARAT,TAPI,True
GUJARAT,VADODARA,459,GUJARAT,VADODARA,True
GUJARAT,VALSAD,141,GUJARAT,VALSAD,True
GUJARAT,VAV-THARAD,19,GUJARAT,VAV-THARAD,False
HARYANA,AMBALA,152,HARYANA,AMBALA,True
HARYANA,BHIWANI,71,HARYANA,BHIWANI,True
HARYANA,CHARKI DADRI,29,HARYANA,CHARKI DADRI,False
HARYANA,FARIDABAD,197,HARYANA,FARIDABAD,True
HARYANA,FATEHABAD,87,HARYANA,FATEHABAD,True
HARYANA,GURUGRAM,357,HARYANA,GURGAON,True
HARYANA,HANSI,42,HARYANA,HANSI,False
HARYANA,HISAR,129,HARYANA,HISAR,True
HARYANA,JHAJJAR,87,HARYANA,JHAJJAR,True
HARYANA,JIND,116,HARYANA,JIND,True
HARYANA,KAITHAL,88,HARYANA,KAITHAL,True
HARYANA,KARNAL,204,HARYANA,KARNAL,True
HARYANA,KURUKSHETRA,126,HARYANA,KURUKSHETRA,True
HARYANA,MAHENDRAGARH,71,HARYANA,MAHENDRAGARH,True
HARYANA,NUH,40,HARYANA,MEWAT,True
HARYANA,PALWAL,56,HARYANA,PALWAL,True
HARYANA,PANCHKULA,142,HARYANA,PANCHKULA,True
HARYANA,PANIPAT,148,HARYANA,PANIPAT,True
HARYANA,REWARI,89,HARYANA,REWARI,True
HARYANA,ROHTAK,132,HARYANA,ROHTAK,True
HARYANA,SIRSA,124,HARYANA,SIRSA,True
HARYANA,SONIPAT,191,HARYANA,SONIPAT,True
HARYANA,YAMUNANAGAR,133,HARYANA,YAMUNANAGAR,True
HIMACHAL PRADESH,BILASPUR,70,HIMACHAL PRADESH,BILASPUR,True
HIMACHAL PRADESH,CHAMBA,48,HIMACHAL PRADESH,CHAMBA,True
HIMACHAL PRADESH,HAMIRPUR,94,HIMACHAL PRADESH,HAMIRPUR,True
HIMACHAL PRADESH,KANGRA,219,HIMACHAL PRADESH,KANGRA,True
HIMACHAL PRADESH,KINNAUR,30,HIMACHAL PRADESH,KINNAUR,True
HIMACHAL PRADESH,KULU,68,HIMACHAL PRADESH,KULLU,True
HIMACHAL PRADESH,LAHUL & SPITI,15,HIMACHAL PRADESH,LAHUL & SPITI,True
HIMACHAL PRADESH,MANDI,119,HIMACHAL PRADESH,MANDI,True
HIMACHAL PRADESH,SHIMLA,206,HIMACHAL PRADESH,SHIMLA,True
HIMACHAL PRADESH,SIRMAUR,87,HIMACHAL PRADESH,SIRMAUR,True
HIMACHAL PRADESH,SOLAN,158,HIMACHAL PRADESH,SOLAN,True
HIMACHAL PRADESH,UNA,90,HIMACHAL PRADESH,UNA,True
JAMMU & KASHMIR,ANANTNAG,19,JAMMU & KASHMIR,ANANTNAG,True
JAMMU & KASHMIR,BADGAM,16,JAMMU & KASHMIR,BADGAM,True
JAMMU & KASHMIR,BANDIPORA,5,JAMMU & KASHMIR,BANDIPORE,True
JAMMU & KASHMIR,BARAMULLA,19,JAMMU & KASHMIR,BARAMULA,True
JAMMU & KASHMIR,DODA,13,JAMMU & KASHMIR,DODA,True
JAMMU & KASHMIR,GANDERBAL,6,JAMMU & KASHMIR,GANDERBAL,True
JAMMU & KASHMIR,JAMMU,174,JAMMU & KASHMIR,JAMMU,True
JAMMU & KASHMIR,KATHUA,37,JAMMU & KASHMIR,KATHUA,True
JAMMU & KASHMIR,KISHTWAR,5,JAMMU & KASHMIR,KISHTWAR,True
JAMMU & KASHMIR,KULGAM,5,JAMMU & KASHMIR,KULGAM,True
JAMMU & KASHMIR,KUPWARA,11,JAMMU & KASHMIR,KUPWARA,True
JAMMU & KASHMIR,POONCH,6,JAMMU & KASHMIR,PUNCH,True
JAMMU & KASHMIR,PULWAMA,9,JAMMU & KASHMIR,PULWAMA,True
JAMMU & KASHMIR,RAJOURI,17,JAMMU & KASHMIR,RAJOURI,True
JAMMU & KASHMIR,RAMBAN,8,JAMMU & KASHMIR,RAMBAN,True
JAMMU & KASHMIR,REASI,21,JAMMU & KASHMIR,REASI,True
JAMMU & KASHMIR,SAMBA,36,JAMMU & KASHMIR,SAMBA,True
JAMMU & KASHMIR,SHOPIAN,5,JAMMU & KASHMIR,SHUPIYAN,True
JAMMU & KASHMIR,SRINAGAR,58,JAMMU & KASHMIR,SRINAGAR,True
JAMMU & KASHMIR,UDHAMPUR,30,JAMMU & KASHMIR,UDHAMPUR,True
JHARKHAND,BOKARO,167,JHARKHAND,BOKARO,True
JHARKHAND,CHATRA,50,JHARKHAND,CHATRA,True
JHARKHAND,DEOGHAR,101,JHARKHAND,DEOGHAR,True
JHARKHAND,DHANBAD,226,JHARKHAND,DHANBAD,True
