State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
UTTAR PRADESH,MAHRAJGANJ,2684703,UTTAR PRADESH,MAHARAJGANJ,91,29502.23076923077,85.0,Very High Population per Bank,187.76,96.76,Very High Priority
MIZORAM,LAWNGTLAI,117894,MIZORAM,LAWNGTLAI,4,29473.5,86.0,Very High Population per Bank,8.25,4.25,Low Priority
RAJASTHAN,DHAULPUR,1206516,RAJASTHAN,DHOLPUR,41,29427.219512195123,87.0,Very High Population per Bank,84.38,43.38,High Priority
ASSAM,NAGAON,2823768,ASSAM,NAGAON,96,29414.25,88.0,Very High Population per Bank,197.49,101.49,Very High Priority
MADHYA PRADESH,BHIND,1703005,MADHYA PRADESH,BHIND,58,29362.155172413793,89.0,Very High Population per Bank,119.1,61.1,High Priority
MADHYA PRADESH,MORENA,1965970,MADHYA PRADESH,MORENA,67,29342.83582089552,90.0,Very High Population per Bank,137.49,70.49,Very High Priority
BIHAR,SUPAUL,2229076,BIHAR,SUPAUL,76,29329.947368421053,91.0,Very High Population per Bank,155.9,79.9,Very High Priority
WEST BENGAL,MALDAH,3988845,WEST BENGAL,MALDAH,136,29329.742647058825,92.0,Very High Population per Bank,278.97,142.97,Very High Priority
BIHAR,KHAGARIA,1666886,BIHAR,KHAGARIA,57,29243.614035087718,93.0,Very High Population per Bank,116.58,59.58,High Priority
ARUNACHAL PRADESH,LOHIT,145726,ARUNACHAL PRADESH,LOHIT,5,29145.2,94.0,Very High Population per Bank,10.19,5.19,Low Priority
UTTAR PRADESH,SANT KABIR NAGAR,1715183,UTTAR PRADESH,SANT KABIR NAGAR,59,29070.898305084746,95.0,Very High Population per Bank,119.96,60.96,High Priority
TAMIL NADU,VILUPPURAM,3458873,TAMIL NADU,VILLUPURAM,119,29066.159663865546,96.0,Very High Population per Bank,241.9,122.9,Very High Priority
BIHAR,DARBHANGA,3937385,BIHAR,DARBHANGA,136,28951.360294117647,97.0,Very High Population per Bank,275.37,139.37,Very High Priority
TAMIL NADU,NAGAPATTINAM,1616450,TAMIL NADU,NAGAPATTINAM,56,28865.178571428572,98.0,Very High Population per Bank,113.05,57.05,High Priority
MAHARASHTRA,JALNA,1959046,MAHARASHTRA,JALNA,68,28809.5,99.0,Very High Population per Bank,137.01,69.01,Very High Priority
ASSAM,HAILAKANDI,659296,ASSAM,HAILAKANDI,23,28665.043478260868,100.0,Very High Population per Bank,46.11,23.11,Moderate Priority
ANDHRA PRADESH,PRAKASAM,3397448,ANDHRA PRADESH,PRAKASAM,119,28549.983193277312,101.0,Very High Population per Bank,237.61,118.61,Very High Priority
BIHAR,KATIHAR,3071029,BIHAR,KATIHAR,108,28435.453703703704,102.0,Very High Population per Bank,214.78,106.78,Very High Priority
UTTAR PRADESH,GONDA,3433919,UTTAR PRADESH,GONDA,121,28379.495867768594,103.0,Very High Population per Bank,240.16,119.16,Very High Priority
UTTAR PRADESH,JYOTIBA PHULE NAGAR,1840221,UTTAR PRADESH,AMROHA,65,28311.092307692306,104.0,Very High Population per Bank,128.7,63.7,High Priority
MAHARASHTRA,NANDED,3361292,MAHARASHTRA,NANDED,119,28246.1512605042,105.0,Very High Population per Bank,235.08,116.08,Very High Priority
MADHYA PRADESH,PANNA,1016520,MADHYA PRADESH,PANNA,36,28236.666666666668,106.0,Very High Population per Bank,71.09,35.09,High Priority
MADHYA PRADESH,DINDORI,704524,MADHYA PRADESH,DINDORI,25,28180.96,107.0,Very High Population per Bank,49.27,24.27,Moderate Priority
UTTAR PRADESH,KANSHIRAM NAGAR,1436719,UTTAR PRADESH,KASGANJ,51,28170.960784313724,108.0,Very High Population per Bank,100.48,49.48,High Priority
WEST BENGAL,BARDDHAMAN,7717563,WEST BENGAL,PURBA BARDHAMAN,274,28166.28832116788,109.0,Very High Population per Bank,539.75,265.75,Very High Priority
MANIPUR,TAMENGLONG,140651,MANIPUR,TAMENGLONG,5,28130.2,110.0,Very High Population per Bank,9.84,4.84,Low Priority
NAGALAND,TUENSANG,196596,NAGALAND,TUENSANG,7,28085.14285714286,111.0,Very High Population per Bank,13.75,6.75,Low Priority
ARUNACHAL PRADESH,WEST SIANG,112274,ARUNACHAL PRADESH,WEST SIANG,4,28068.5,112.0,Very High Population per Bank,7.85,3.85,Low Priority
MEGHALAYA,WEST GARO HILLS,643291,MEGHALAYA,WEST GARO HILLS,23,27969.17391304348,113.0,Very High Population per Bank,44.99,21.99,Moderate Priority
ARUNACHAL PRADESH,UPPER SUBANSIRI,83448,ARUNACHAL PRADESH,UPPER SUBANSIRI,3,27816.0,114.0,Very High Population per Bank,5.84,2.84,Low Priority
BIHAR,LAKHISARAI,1000912,BIHAR,LAKHISARAI,36,27803.11111111111,115.0,Very High Population per Bank,70.0,34.0,High Priority
JHARKHAND,PALAMU,1939869,JHARKHAND,PALAMAU,70,27712.414285714287,116.0,Very High Population per Bank,135.67,65.67,High Priority
BIHAR,ROHTAS,2959918,BIHAR,ROHTAS,107,27662.78504672897,117.0,Very High Population per Bank,207.01,100.01,Very High Priority
MADHYA PRADESH,SEONI,1379131,MADHYA PRADESH,SEONI,50,27582.62,118.0,Very High Population per Bank,96.45,46.45,High Priority
MADHYA PRADESH,CHHATARPUR,1762375,MADHYA PRADESH,CHHATARPUR,64,27537.109375,119.0,Very High Population per Bank,123.26,59.26,High Priority
MADHYA PRADESH,SHAJAPUR,1512681,MADHYA PRADESH,SHAJAPUR,55,27503.29090909091,120.0,Very High Population per Bank,105.79,50.79,High Priority
MADHYA PRADESH,DAMOH,1264219,MADHYA PRADESH,DAMOH,46,27483.021739130436,121.0,Very High Population per Bank,88.42,42.42,High Priority
GUJARAT,PANCH MAHALS,2390776,GUJARAT,PANCH MAHALS,87,27480.183908045976,122.0,Very High Population per Bank,167.2,80.2,Very High Priority
UTTAR PRADESH,MAINPURI,1868529,UTTAR PRADESH,MAINPURI,68,27478.367647058825,123.0,Very High Population per Bank,130.68,62.68,High Priority
ASSAM,DHEMAJI,686133,ASSAM,DHEMAJI,25,27445.32,124.0,Very High Population per Bank,47.99,22.99,Moderate Priority
NAGALAND,PHEK,163418,NAGALAND,PHEK,6,27236.333333333332,125.0,Very High Population per Bank,11.43,5.43,Low Priority
HARYANA,MEWAT,1089263,HARYANA,NUH,40,27231.575,126.0,Very High Population per Bank,76.18,36.18,High Priority
MADHYA PRADESH,REWA,2365106,MADHYA PRADESH,REWA,87,27185.126436781607,127.0,Very High Population per Bank,165.41,78.41,Very High Priority
MAHARASHTRA,OSMANABAD,1657576,MAHARASHTRA,DHARASHIV,61,27173.377049180326,128.0,Very High Population per Bank,115.93,54.93,High Priority
BIHAR,VAISHALI,3495021,BIHAR,VAISHALI,129,27093.18604651163,129.0,Very High Population per Bank,244.43,115.43,Very High Priority
WEST BENGAL,DAKSHIN DINAJPUR,1676276,WEST BENGAL,DAKSHIN DINAJPUR,62,27036.709677419356,130.0,Very High Population per Bank,117.23,55.23,High Priority
BIHAR,BHOJPUR,2728407,BIHAR,BHOJPUR,101,27013.930693069306,131.0,Very High Population per Bank,190.82,89.82,Very High Priority
JHARKHAND,GARHWA,1322784,JHARKHAND,GARHWA,49,26995.591836734693,132.0,Very High Population per Bank,92.51,43.51,High Priority
RAJASTHAN,PALI,2037573,RAJASTHAN,PALI,76,26810.17105263158,133.0,Very High Population per Bank,142.5,66.5,High Priority
