State,District,Population,State_Match,District_Match,Banking_Outlets,Population_per_Bank,Banking_Access_Rank,Banking_Access_Category,Expected_Banking_Outlets,Banking_Outlet_Gap,Banking_Gap_Priority
WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,8161961,WEST BENGAL,SOUTH 24 PARGANAS,353,23121.70254957507,181.0,High Population per Bank,570.83,217.83,Very High Priority
MAHARASHTRA,WASHIM,1197160,MAHARASHTRA,WASHIM,52,23022.30769230769,182.0,High Population per Bank,83.73,31.73,Moderate Priority
ASSAM,SIVASAGAR,1151050,ASSAM,SIBSAGAR,50,23021.0,183.0,High Population per Bank,80.5,30.5,Moderate Priority
HARYANA,BHIWANI,1634445,HARYANA,BHIWANI,71,23020.352112676057,184.0,High Population per Bank,114.31,43.31,High Priority
MAHARASHTRA,GADCHIROLI,1072942,MAHARASHTRA,GADCHIROLI,47,22828.55319148936,185.0,High Population per Bank,75.04,28.04,Moderate Priority
BIHAR,ARWAL,700843,BIHAR,ARWAL,31,22607.83870967742,186.0,High Population per Bank,49.02,18.02,Moderate Priority
WEST BENGAL,PURULIYA,2930115,WEST BENGAL,PURULIYA,130,22539.346153846152,187.0,High Population per Bank,204.92,74.92,Very High Priority
UTTAR PRADESH,MAU,2205968,UTTAR PRADESH,MAU,98,22509.877551020407,188.0,High Population per Bank,154.28,56.28,High Priority
MADHYA PRADESH,CHHINDWARA,2090922,MADHYA PRADESH,CHHINDWARA,93,22483.032258064515,189.0,High Population per Bank,146.23,53.23,High Priority
UTTAR PRADESH,JAUNPUR,4494204,UTTAR PRADESH,JAUNPUR,200,22471.02,190.0,High Population per Bank,314.31,114.31,Very High Priority
UTTAR PRADESH,MAHOBA,875958,UTTAR PRADESH,MAHOBA,39,22460.46153846154,191.0,High Population per Bank,61.26,22.26,Moderate Priority
UTTAR PRADESH,BIJNOR,3682713,UTTAR PRADESH,BIJNOR,164,22455.567073170732,192.0,High Population per Bank,257.56,93.56,Very High Priority
MADHYA PRADESH,BALAGHAT,1701698,MADHYA PRADESH,BALAGHAT,76,22390.763157894737,193.0,High Population per Bank,119.01,43.01,High Priority
JHARKHAND,GUMLA,1025213,JHARKHAND,GUMLA,46,22287.239130434784,194.0,High Population per Bank,71.7,25.7,Moderate Priority
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,533638,CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,24,22234.916666666668,195.0,High Population per Bank,37.32,13.32,Low Priority
JHARKHAND,SIMDEGA,599578,JHARKHAND,SIMDEGA,27,22206.59259259259,196.0,High Population per Bank,41.93,14.93,Low Priority
BIHAR,BEGUSARAI,2970541,BIHAR,BEGUSARAI,134,22168.216417910447,197.0,High Population per Bank,207.75,73.75,Very High Priority
UTTAR PRADESH,AZAMGARH,4613913,UTTAR PRADESH,AZAMGARH,209,22076.13875598086,198.0,High Population per Bank,322.68,113.68,Very High Priority
RAJASTHAN,DUNGARPUR,1388552,RAJASTHAN,DUNGARPUR,63,22040.507936507936,199.0,High Population per Bank,97.11,34.11,High Priority
MADHYA PRADESH,ANUPPUR,749237,MADHYA PRADESH,ANUPPUR,34,22036.382352941175,200.0,High Population per Bank,52.4,18.4,Moderate Priority
MADHYA PRADESH,KHARGONE (WEST NIMAR),1873046,MADHYA PRADESH,WEST NIMAR,85,22035.835294117645,201.0,High Population per Bank,131.0,46.0,High Priority
JHARKHAND,LATEHAR,726978,JHARKHAND,LATEHAR,33,22029.636363636364,202.0,High Population per Bank,50.84,17.84,Moderate Priority
WEST BENGAL,NADIA,5167600,WEST BENGAL,NADIA,235,21989.787234042553,203.0,High Population per Bank,361.41,126.41,Very High Priority
MADHYA PRADESH,MANDLA,1054905,MADHYA PRADESH,MANDLA,48,21977.1875,204.0,High Population per Bank,73.78,25.78,Moderate Priority
JHARKHAND,PAKUR,900422,JHARKHAND,PAKUR,41,21961.51219512195,205.0,High Population per Bank,62.97,21.97,Moderate Priority
WEST BENGAL,PASCHIM MEDINIPUR,5913457,WEST BENGAL,PASCHIM MEDINIPUR,270,21901.692592592593,206.0,High Population per Bank,413.57,143.57,Very High Priority
CHHATTISGARH,JANJGIR - CHAMPA,1619707,CHHATTISGARH,JANJGIR-CHAMPA,74,21887.932432432433,207.0,High Population per Bank,113.28,39.28,High Priority
UTTAR PRADESH,AMBEDKAR NAGAR,2397888,UTTAR PRADESH,AMBEDKAR NAGAR,110,21798.98181818182,208.0,High Population per Bank,167.7,57.7,High Priority
RAJASTHAN,JHALAWAR,1411129,RAJASTHAN,JHALAWAR,65,21709.676923076924,209.0,High Population per Bank,98.69,33.69,Moderate Priority
MIZORAM,MAMIT,86364,MIZORAM,MAMIT,4,21591.0,210.0,High Population per Bank,6.04,2.04,Low Priority
UTTAR PRADESH,LALITPUR,1221592,UTTAR PRADESH,LALITPUR,57,21431.43859649123,211.0,High Population per Bank,85.43,28.43,Moderate Priority
WEST BENGAL,BANKURA,3596674,WEST BENGAL,BANKURA,168,21408.77380952381,212.0,High Population per Bank,251.54,83.54,Very High Priority
KARNATAKA,YADGIR,1174271,KARNATAKA,YADGIR,55,21350.381818181817,213.0,High Population per Bank,82.13,27.13,Moderate Priority
BIHAR,MUZAFFARPUR,4801062,BIHAR,MUZAFFARPUR,225,21338.053333333333,214.0,High Population per Bank,335.77,110.77,Very High Priority
JAMMU & KASHMIR,SRINAGAR,1236829,JAMMU & KASHMIR,SRINAGAR,58,21324.637931034482,215.0,High Population per Bank,86.5,28.5,Moderate Priority
WEST BENGAL,PURBA MEDINIPUR,5095875,WEST BENGAL,PURBA MEDINIPUR,240,21232.8125,216.0,High Population per Bank,356.39,116.39,Very High Priority
BIHAR,JEHANABAD,1125313,BIHAR,JEHANABAD,53,21232.32075471698,217.0,High Population per Bank,78.7,25.7,Moderate Priority
BIHAR,SHEIKHPURA,636342,BIHAR,SHEIKHPURA,30,21211.4,218.0,High Population per Bank,44.5,14.5,Low Priority
ARUNACHAL PRADESH,CHANGLANG,148226,ARUNACHAL PRADESH,CHUNGLANG,7,21175.14285714286,219.0,High Population per Bank,10.37,3.37,Low Priority
ODISHA,MALKANGIRI,613192,ODISHA,MALKANGIRI,29,21144.55172413793,220.0,High Population per Bank,42.89,13.89,Low Priority
ASSAM,SONITPUR,1924110,ASSAM,SONITPUR,91,21144.065934065933,221.0,High Population per Bank,134.57,43.57,High Priority
MADHYA PRADESH,SINGRAULI,1178273,MADHYA PRADESH,SINGRAULI,56,21040.589285714286,222.0,High Population per Bank,82.41,26.41,Moderate Priority
MADHYA PRADESH,DHAR,2185793,MADHYA PRADESH,DHAR,104,21017.240384615383,223.0,High Population per Bank,152.87,48.87,High Priority
MAHARASHTRA,YAVATMAL,2772348,MAHARASHTRA,YAVATMAL,132,21002.636363636364,224.0,High Population per Bank,193.89,61.89,High Priority
ANDHRA PRADESH,MAHBUBNAGAR,4053028,ANDHRA PRADESH,MAHBUBNAGAR,193,21000.145077720208,225.0,High Population per Bank,283.46,90.46,Very High Priority
GUJARAT,PATAN,1343734,GUJARAT,PATAN,64,20995.84375,226.0,High Population per Bank,93.98,29.98,Moderate Priority
MAHARASHTRA,GONDIYA,1322507,MAHARASHTRA,GONDIA,63,20992.174603174604,227.0,High Population per Bank,92.49,29.49,Moderate Priority
MAHARASHTRA,DHULE,2050862,MAHARASHTRA,DHULE,98,20927.163265306124,228.0,High Population per Bank,143.43,45.43,High Priority
ASSAM,GOLAGHAT,1066888,ASSAM,GOLAGHAT,51,20919.37254901961,229.0,High Population per Bank,74.62,23.62,Moderate Priority
UTTAR PRADESH,AURAIYA,1379545,UTTAR PRADESH,AURAIYA,66,20902.196969696968,230.0,High Population per Bank,96.48,30.48,Moderate Priority
JHARKHAND,CHATRA,1042886,JHARKHAND,CHATRA,50,20857.72,231.0,High Population per Bank,72.94,22.94,Moderate Priority
UTTAR PRADESH,MUZAFFARNAGAR,4143512,UTTAR PRADESH,MUZAFFARNAGAR,199,20821.668341708544,232.0,High Population per Bank,289.79,90.79,Very High Priority
ASSAM,CACHAR,1736617,ASSAM,CACHAR,84,20674.011904761905,233.0,High Population per Bank,121.45,37.45,High Priority
ASSAM,DARRANG,928500,ASSAM,DARRANG,45,20633.333333333332,234.0,High Population per Bank,64.94,19.94,Moderate Priority
MADHYA PRADESH,ASHOKNAGAR,845071,MADHYA PRADESH,ASHOKNAGAR,41,20611.48780487805,235.0,High Population per Bank,59.1,18.1,Moderate Priority
ODISHA,KORAPUT,1379647,ODISHA,KORAPUT,67,20591.746268656716,236.0,High Population per Bank,96.49,29.49,Moderate Priority
RAJASTHAN,KARAULI,1458248,RAJASTHAN,KARAULI,71,20538.704225352114,237.0,High Population per Bank,101.99,30.99,Moderate Priority
MANIPUR,UKHRUL,183998,MANIPUR,UKHRUL,9,20444.222222222223,238.0,High Population per Bank,12.87,3.87,Low Priority
MAHARASHTRA,JALGAON,4229917,MAHARASHTRA,JALGAON,207,20434.38164251208,239.0,High Population per Bank,295.83,88.83,Very High Priority
WEST BENGAL,BIRBHUM,3502404,WEST BENGAL,BIRBHUM,172,20362.81395348837,240.0,High Population per Bank,244.95,72.95,Very High Priority
CHHATTISGARH,BILASPUR,2663629,CHHATTISGARH,BILASPUR,131,20333.045801526718,241.0,High Population per Bank,186.29,55.29,High Priority
MADHYA PRADESH,DEWAS,1563715,MADHYA PRADESH,DEWAS,77,20307.987012987014,242.0,High Population per Bank,109.36,32.36,Moderate Priority
UTTAR PRADESH,MIRZAPUR,2496970,UTTAR PRADESH,MIRZAPUR,123,20300.56910569106,243.0,High Population per Bank,174.63,51.63,High Priority
CHHATTISGARH,JASHPUR,851669,CHHATTISGARH,JASHPUR,42,20277.833333333332,244.0,High Population per Bank,59.56,17.56,Moderate Priority
RAJASTHAN,CHURU,2039547,RAJASTHAN,CHURU,101,20193.534653465347,245.0,High Population per Bank,142.64,41.64,High Priority
UTTAR PRADESH,KANPUR DEHAT,1796184,UTTAR PRADESH,KANPUR DEHAT,89,20181.842696629214,246.0,High Population per Bank,125.62,36.62,High Priority
MIZORAM,LUNGLEI,161428,MIZORAM,LUNGLEI,8,20178.5,247.0,High Population per Bank,11.29,3.29,Low Priority
UTTAR PRADESH,CHANDAULI,1952756,UTTAR PRADESH,CHANDAULI,97,20131.505154639177,248.0,High Population per Bank,136.57,39.57,High Priority
RAJASTHAN,BARAN,1222755,RAJASTHAN,BARAN,61,20045.16393442623,249.0,High Population per Bank,85.52,24.52,Moderate Priority
GUJARAT,JUNAGADH,2743082,GUJARAT,JUNAGADH,137,20022.496350364963,250.0,High Population per Bank,191.84,54.84,High Priority
CHHATTISGARH,NARAYANPUR,139820,CHHATTISGARH,NARAYANPUR,7,19974.285714285714,251.0,High Population per Bank,9.78,2.78,Low Priority
PUNJAB,FIROZPUR,2029074,PUNJAB,FEROZPUR,102,19892.882352941175,252.0,High Population per Bank,141.91,39.91,High Priority
UTTAR PRADESH,GHAZIPUR,3620268,UTTAR PRADESH,GHAZIPUR,182,19891.582417582416,253.0,High Population per Bank,253.19,71.19,Very High Priority
CHHATTISGARH,MAHASAMUND,1032754,CHHATTISGARH,MAHASAMUND,52,19860.653846153848,254.0,High Population per Bank,72.23,20.23,Moderate Priority
TAMIL NADU,TIRUNELVELI,3077233,TAMIL NADU,TIRUNELVALI,155,19853.11612903226,255.0,High Population per Bank,215.21,60.21,High Priority
UTTAR PRADESH,MAHAMAYA NAGAR,1564708,UTTAR PRADESH,HATHRAS,79,19806.430379746835,256.0,High Population per Bank,109.43,30.43,Moderate Priority
ASSAM,NALBARI,771639,ASSAM,NALBARI,39,19785.615384615383,257.0,High Population per Bank,53.97,14.97,Low Priority
KERALA,MALAPPURAM,4112920,KERALA,MALAPPURAM,208,19773.653846153848,258.0,High Population per Bank,287.65,79.65,Very High Priority
UTTAR PRADESH,ETAWAH,1581810,UTTAR PRADESH,ETAWAH,80,19772.625,259.0,High Population per Bank,110.63,30.63,Moderate Priority
UTTAR PRADESH,HAMIRPUR,1104285,UTTAR PRADESH,HAMIRPUR,56,19719.375,260.0,High Population per Bank,77.23,21.23,Moderate Priority
CHHATTISGARH,UTTAR BASTAR KANKER,748941,CHHATTISGARH,UTTAR BASTAR KANKER,38,19708.973684210527,261.0,High Population per Bank,52.38,14.38,Low Priority
MADHYA PRADESH,DATIA,786754,MADHYA PRADESH,DATIA,40,19668.85,262.0,High Population per Bank,55.02,15.02,Low Priority
UTTAR PRADESH,ALIGARH,3673889,UTTAR PRADESH,ALIGARH,187,19646.46524064171,263.0,High Population per Bank,256.94,69.94,Very High Priority
KARNATAKA,BIDAR,1703300,KARNATAKA,BIDAR,87,19578.16091954023,264.0,High Population per Bank,119.12,32.12,Moderate Priority
UTTAR PRADESH,PILIBHIT,2031007,UTTAR PRADESH,PILIBHIT,104,19528.91346153846,265.0,High Population per Bank,142.04,38.04,High Priority
UTTAR PRADESH,SHAHJAHANPUR,3006538,UTTAR PRADESH,SHAHJAHANPUR,154,19522.974025974025,266.0,High Population per Bank,210.27,56.27,High Priority
MAHARASHTRA,THANE,11060148,MAHARASHTRA,THANE,567,19506.433862433863,267.0,High Population per Bank,773.52,206.52,Very High Priority
UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),1578213,UTTAR PRADESH,SANT RAVIDAS NAGAR,81,19484.11111111111,268.0,High Population per Bank,110.38,29.38,Moderate Priority
ODISHA,KALAHANDI,1576869,ODISHA,KALAHANDI,81,19467.51851851852,269.0,High Population per Bank,110.28,29.28,Moderate Priority
MAHARASHTRA,BULDANA,2586258,MAHARASHTRA,BULDHANA,133,19445.54887218045,270.0,High Population per Bank,180.88,47.88,High Priority
ANDHRA PRADESH,Y.S.R.,2882469,ANDHRA PRADESH,Y.S.R.,149,19345.42953020134,271.0,High Population per Bank,201.59,52.59,High Priority
CHHATTISGARH,KORBA,1206640,CHHATTISGARH,KORBA,63,19153.015873015873,272.0,High Population per Bank,84.39,21.39,Moderate Priority
KARNATAKA,GULBARGA,2566326,KARNATAKA,KALABURAGI,134,19151.68656716418,273.0,High Population per Bank,179.48,45.48,High Priority
MADHYA PRADESH,MANDSAUR,1340411,MADHYA PRADESH,MANDSAUR,70,19148.72857142857,274.0,High Population per Bank,93.74,23.74,Moderate Priority
RAJASTHAN,SIKAR,2677333,RAJASTHAN,SIKAR,140,19123.807142857142,275.0,High Population per Bank,187.25,47.25,High Priority
RAJASTHAN,BHILWARA,2408523,RAJASTHAN,BHILWARA,126,19115.261904761905,276.0,High Population per Bank,168.45,42.45,High Priority
JHARKHAND,GIRIDIH,2445474,JHARKHAND,GIRIDIH,128,19105.265625,277.0,High Population per Bank,171.03,43.03,High Priority
UTTAR PRADESH,KAUSHAMBI,1599596,UTTAR PRADESH,KAUSHAMBI,84,19042.809523809523,278.0,High Population per Bank,111.87,27.87,Moderate Priority
MANIPUR,IMPHAL EAST,456113,MANIPUR,IMPHAL EAST,24,19004.708333333332,279.0,High Population per Bank,31.9,7.9,Low Priority
BIHAR,MUNGER,1367765,BIHAR,MUNGER,72,18996.73611111111,280.0,High Population per Bank,95.66,23.66,Moderate Priority
GUJARAT,BHAVNAGAR,2880365,GUJARAT,BHAVNAGAR,153,18825.91503267974,281.0,High Population per Bank,201.45,48.45,High Priority
MAHARASHTRA,SOLAPUR,4317756,MAHARASHTRA,SOLAPUR,230,18772.852173913045,282.0,High Population per Bank,301.97,71.97,Very High Priority
KARNATAKA,CHITRADURGA,1659456,KARNATAKA,CHITRADURGA,89,18645.573033707864,283.0,High Population per Bank,116.06,27.06,Moderate Priority
HARYANA,PALWAL,1042708,HARYANA,PALWAL,56,18619.785714285714,284.0,High Population per Bank,72.92,16.92,Moderate Priority
RAJASTHAN,SIROHI,1036346,RAJASTHAN,SIROHI,56,18506.178571428572,285.0,High Population per Bank,72.48,16.48,Moderate Priority
JAMMU & KASHMIR,UDHAMPUR,554985,JAMMU & KASHMIR,UDHAMPUR,30,18499.5,286.0,High Population per Bank,38.81,8.81,Low Priority
MADHYA PRADESH,BURHANPUR,757847,MADHYA PRADESH,BURHANPUR,41,18484.073170731706,287.0,High Population per Bank,53.0,12.0,Low Priority
UTTAR PRADESH,BULANDSHAHR,3499171,UTTAR PRADESH,BULANDSHAHR,190,18416.68947368421,288.0,High Population per Bank,244.72,54.72,High Priority
MANIPUR,BISHNUPUR,237399,MANIPUR,BISHENPUR,13,18261.46153846154,289.0,High Population per Bank,16.6,3.6,Low Priority
JHARKHAND,GODDA,1313551,JHARKHAND,GODDA,72,18243.76388888889,290.0,High Population per Bank,91.87,19.87,Moderate Priority
MAHARASHTRA,AURANGABAD,3701282,MAHARASHTRA,CHHATRAPATI SAMBHAJINAGAR,203,18232.916256157634,291.0,High Population per Bank,258.86,55.86,High Priority
CHHATTISGARH,RAIGARH,1493984,CHHATTISGARH,RAIGARH,82,18219.317073170732,292.0,High Population per Bank,104.49,22.49,Moderate Priority
MADHYA PRADESH,KHANDWA (EAST NIMAR),1310061,MADHYA PRADESH,EAST NIMAR,72,18195.291666666668,293.0,High Population per Bank,91.62,19.62,Moderate Priority
KARNATAKA,DAVANAGERE,1945497,KARNATAKA,DAVANGERE,107,18182.21495327103,294.0,High Population per Bank,136.06,29.06,Moderate Priority
CHHATTISGARH,BASTAR,1413199,CHHATTISGARH,BASTAR,78,18117.9358974359,295.0,High Population per Bank,98.84,20.84,Moderate Priority
GUJARAT,SURENDRANAGAR,1756268,GUJARAT,SURENDRANAGAR,97,18105.855670103094,296.0,High Population per Bank,122.83,25.83,Moderate Priority
KARNATAKA,KOPPAL,1389920,KARNATAKA,KOPPAL,77,18050.909090909092,297.0,High Population per Bank,97.21,20.21,Moderate Priority
MADHYA PRADESH,SAGAR,2378458,MADHYA PRADESH,SAGAR,132,18018.621212121212,298.0,High Population per Bank,166.34,34.34,High Priority
GUJARAT,JAMNAGAR,2160119,GUJARAT,JAMNAGAR,120,18000.991666666665,299.0,High Population per Bank,151.07,31.07,Moderate Priority
JHARKHAND,JAMTARA,791042,JHARKHAND,JAMTARA,44,17978.227272727272,300.0,High Population per Bank,55.32,11.32,Low Priority
MADHYA PRADESH,NEEMUCH,826067,MADHYA PRADESH,NEEMUCH,46,17957.978260869564,301.0,High Population per Bank,57.77,11.77,Low Priority
KARNATAKA,HAVERI,1597668,KARNATAKA,HAVERI,89,17951.325842696628,302.0,High Population per Bank,111.74,22.74,Moderate Priority
JHARKHAND,PASHCHIMI SINGHBHUM,1502338,JHARKHAND,PASCHIMI SINGHBHUM,84,17884.97619047619,303.0,High Population per Bank,105.07,21.07,Moderate Priority
NAGALAND,MON,250260,NAGALAND,MON,14,17875.714285714286,304.0,High Population per Bank,17.5,3.5,Low Priority
RAJASTHAN,RAJSAMAND,1156597,RAJASTHAN,RAJSAMAND,65,17793.8,305.0,High Population per Bank,80.89,15.89,Moderate Priority
RAJASTHAN,DAUSA,1634409,RAJASTHAN,DAUSA,92,17765.315217391304,306.0,High Population per Bank,114.31,22.31,Moderate Priority
UTTAR PRADESH,RAE BARELI,3405559,UTTAR PRADESH,RAI BARELI,192,17737.286458333332,307.0,High Population per Bank,238.18,46.18,High Priority
NCT OF DELHI,NORTH WEST,3656539,NCT OF DELHI,NORTH-WEST DELHI,207,17664.43961352657,308.0,High Population per Bank,255.73,48.73,High Priority
ARUNACHAL PRADESH,UPPER SIANG,35320,ARUNACHAL PRADESH,UPPER SIANG,2,17660.0,309.0,High Population per Bank,2.47,0.47,Low Priority
RAJASTHAN,BUNDI,1110906,RAJASTHAN,BUNDI,63,17633.428571428572,310.0,High Population per Bank,77.69,14.69,Low Priority
MADHYA PRADESH,VIDISHA,1458875,MADHYA PRADESH,VIDISHA,83,17576.807228915663,311.0,High Population per Bank,102.03,19.03,Moderate Priority
ODISHA,BALANGIR,1648997,ODISHA,BALANGIR,94,17542.521276595744,312.0,High Population per Bank,115.33,21.33,Moderate Priority
KARNATAKA,RAICHUR,1928812,KARNATAKA,RAICHUR,110,17534.654545454545,313.0,High Population per Bank,134.9,24.9,Moderate Priority
RAJASTHAN,JHUNJHUNUN,2137045,RAJASTHAN,JHUNJHUNU,122,17516.762295081968,314.0,High Population per Bank,149.46,27.46,Moderate Priority
ANDHRA PRADESH,ADILABAD,2741239,ANDHRA PRADESH,ADILABAD,157,17460.12101910828,315.0,High Population per Bank,191.72,34.72,High Priority
ANDHRA PRADESH,SRIKAKULAM,2703114,ANDHRA PRADESH,SRIKAKULAM,155,17439.44516129032,316.0,High Population per Bank,189.05,34.05,High Priority
UTTAR PRADESH,BAREILLY,4448359,UTTAR PRADESH,BAREILLY,256,17376.40234375,317.0,High Population per Bank,311.11,55.11,High Priority
MAHARASHTRA,SANGLI,2822143,MAHARASHTRA,SANGLI,163,17313.76073619632,318.0,High Population per Bank,197.37,34.37,High Priority
TAMIL NADU,THIRUVALLUR,3728104,TAMIL NADU,THIRUVALLUR,216,17259.74074074074,319.0,High Population per Bank,260.73,44.73,High Priority
GUJARAT,TAPI,807022,GUJARAT,TAPI,47,17170.68085106383,320.0,High Population per Bank,56.44,9.44,Low Priority
ODISHA,KENDRAPARA,1440361,ODISHA,KENDRAPARA,84,17147.154761904763,321.0,Moderate Population per Bank,100.74,16.74,Moderate Priority
UTTAR PRADESH,SONBHADRA,1862559,UTTAR PRADESH,SONBHADRA,109,17087.697247706423,322.0,Moderate Population per Bank,130.26,21.26,Moderate Priority
SIKKIM,WEST DISTRICT,136435,SIKKIM,GYALSHING,8,17054.375,323.0,Moderate Population per Bank,9.54,1.54,Low Priority
ASSAM,KAMRUP,1517542,ASSAM,KAMRUP,89,17051.03370786517,324.0,Moderate Population per Bank,106.13,17.13,Moderate Priority
WEST BENGAL,HAORA,4850029,WEST BENGAL,HAORA,285,17017.64561403509,325.0,Moderate Population per Bank,339.2,54.2,High Priority
KARNATAKA,BIJAPUR,2177331,KARNATAKA,VIJAYAPURA,128,17010.3984375,326.0,Moderate Population per Bank,152.28,24.28,Moderate Priority
MADHYA PRADESH,KATNI,1292042,MADHYA PRADESH,KATNI,76,17000.552631578947,327.0,Moderate Population per Bank,90.36,14.36,Low Priority
BIHAR,BHAGALPUR,3037766,BIHAR,BHAGALPUR,180,16876.477777777778,328.0,Moderate Population per Bank,212.45,32.45,Moderate Priority
GUJARAT,NARMADA,590297,GUJARAT,NARMADA,35,16865.628571428573,329.0,Moderate Population per Bank,41.28,6.28,Low Priority
MADHYA PRADESH,RAISEN,1331597,MADHYA PRADESH,RAISEN,79,16855.6582278481,330.0,Moderate Population per Bank,93.13,14.13,Low Priority
MAHARASHTRA,AKOLA,1813906,MAHARASHTRA,AKOLA,108,16795.425925925927,331.0,Moderate Population per Bank,126.86,18.86,Moderate Priority
TAMIL NADU,DHARMAPURI,1506843,TAMIL NADU,DHARMAPURI,90,16742.7,332.0,Moderate Population per Bank,105.38,15.38,Low Priority
JHARKHAND,DUMKA,1321442,JHARKHAND,DUMKA,79,16727.113924050635,333.0,Moderate Population per Bank,92.42,13.42,Low Priority
JAMMU & KASHMIR,KATHUA,616435,JAMMU & KASHMIR,KATHUA,37,16660.405405405407,334.0,Moderate Population per Bank,43.11,6.11,Low Priority
NAGALAND,WOKHA,166343,NAGALAND,WOKHA,10,16634.3,335.0,Moderate Population per Bank,11.63,1.63,Low Priority
UTTAR PRADESH,ALLAHABAD,5954391,UTTAR PRADESH,PRAYAGRAJ,358,16632.377094972067,336.0,Moderate Population per Bank,416.43,58.43,High Priority
JHARKHAND,KHUNTI,531885,JHARKHAND,KHUNTI,32,16621.40625,337.0,Moderate Population per Bank,37.2,5.2,Low Priority
MAHARASHTRA,KOLHAPUR,3876001,MAHARASHTRA,KOLHAPUR,234,16564.106837606836,338.0,Moderate Population per Bank,271.08,37.08,High Priority
ODISHA,BHADRAK,1506337,ODISHA,BHADRAK,91,16553.153846153848,339.0,Moderate Population per Bank,105.35,14.35,Low Priority
ODISHA,NUAPADA,610382,ODISHA,NAWAPARA,37,16496.81081081081,340.0,Moderate Population per Bank,42.69,5.69,Low Priority
ODISHA,SUBARNAPUR,610183,ODISHA,SONEPUR,37,16491.432432432433,341.0,Moderate Population per Bank,42.67,5.67,Low Priority
TRIPURA,DHALAI,378230,TRIPURA,DHALAI,23,16444.782608695652,342.0,Moderate Population per Bank,26.45,3.45,Low Priority
RAJASTHAN,CHITTAURGARH,1544338,RAJASTHAN,CHITTAURGARH,94,16429.127659574468,343.0,Moderate Population per Bank,108.01,14.01,Low Priority
UTTAR PRADESH,FAIZABAD,2470996,UTTAR PRADESH,AYODHYA,151,16364.211920529802,344.0,Moderate Population per Bank,172.81,21.81,Moderate Priority
CHHATTISGARH,DHAMTARI,799781,CHHATTISGARH,DHAMTARI,49,16322.061224489797,345.0,Moderate Population per Bank,55.93,6.93,Low Priority
GUJARAT,THE DANGS,228291,GUJARAT,DANGS,14,16306.5,346.0,Moderate Population per Bank,15.97,1.97,Low Priority
RAJASTHAN,UDAIPUR,3068420,RAJASTHAN,UDAIPUR,189,16235.026455026455,347.0,Moderate Population per Bank,214.6,25.6,Moderate Priority
ODISHA,MAYURBHANJ,2519738,ODISHA,MAYURBHANJ,156,16152.166666666666,348.0,Moderate Population per Bank,176.22,20.22,Moderate Priority
ANDHRA PRADESH,CHITTOOR,4174064,ANDHRA PRADESH,CHITTOOR,259,16116.07722007722,349.0,Moderate Population per Bank,291.92,32.92,Moderate Priority
MAHARASHTRA,SATARA,3003741,MAHARASHTRA,SATARA,187,16062.786096256685,350.0,Moderate Population per Bank,210.07,23.07,Moderate Priority
ODISHA,KANDHAMAL,733110,ODISHA,KANDHAMAL,46,15937.173913043478,351.0,Moderate Population per Bank,51.27,5.27,Low Priority
TAMIL NADU,RAMANATHAPURAM,1353445,TAMIL NADU,RAMANATHAPURAM,85,15922.882352941177,352.0,Moderate Population per Bank,94.66,9.66,Low Priority
ODISHA,RAYAGADA,967911,ODISHA,RAYAGADA,61,15867.393442622952,353.0,Moderate Population per Bank,67.69,6.69,Low Priority
KARNATAKA,BELGAUM,4779661,KARNATAKA,BELAGAVI,302,15826.692052980132,354.0,Moderate Population per Bank,334.28,32.28,Moderate Priority
MADHYA PRADESH,RATLAM,1455069,MADHYA PRADESH,RATLAM,92,15815.967391304348,355.0,Moderate Population per Bank,101.76,9.76,Low Priority
MAHARASHTRA,NASHIK,6107187,MAHARASHTRA,NASIK,390,15659.453846153847,356.0,Moderate Population per Bank,427.12,37.12,High Priority
NAGALAND,ZUNHEBOTO,140757,NAGALAND,ZUNHEBOTO,9,15639.666666666666,357.0,Moderate Population per Bank,9.84,0.84,Low Priority
MAHARASHTRA,CHANDRAPUR,2204307,MAHARASHTRA,CHANDRAPUR,141,15633.382978723404,358.0,Moderate Population per Bank,154.16,13.16,Low Priority
ASSAM,JORHAT,1092256,ASSAM,JORHAT,70,15603.657142857142,359.0,Moderate Population per Bank,76.39,6.39,Low Priority
UTTAR PRADESH,SAHARANPUR,3466382,UTTAR PRADESH,SAHARANPUR,223,15544.313901345291,360.0,Moderate Population per Bank,242.43,19.43,Moderate Priority
TAMIL NADU,TIRUVANNAMALAI,2464875,TAMIL NADU,TIRUVANNAMALAI,159,15502.358490566037,361.0,Moderate Population per Bank,172.39,13.39,Low Priority
TAMIL NADU,ARIYALUR,754894,TAMIL NADU,ARIYALUR,49,15406.0,362.0,Moderate Population per Bank,52.8,3.8,Low Priority
MAHARASHTRA,AHMADNAGAR,4543159,MAHARASHTRA,AHILYANAGAR,295,15400.538983050847,363.0,Moderate Population per Bank,317.74,22.74,Moderate Priority
NCT OF DELHI,EAST,1709346,NCT OF DELHI,EAST DELHI,111,15399.513513513513,364.0,Moderate Population per Bank,119.55,8.55,Low Priority
