State,District,Population,Banking_Outlets,Population_per_Bank
UTTAR PRADESH,HARDOI,4092845,164,24956.371951219513
UTTAR PRADESH,UNNAO,3108367,132,23548.234848484848
UTTAR PRADESH,LUCKNOW,4589838,727,6313.3947730398895
UTTAR PRADESH,RAE BARELI,3405559,192,17737.286458333332
UTTAR PRADESH,FARRUKHABAD,1885204,58,32503.51724137931
UTTAR PRADESH,KANNAUJ,1656616,69,24008.927536231884
UTTAR PRADESH,ETAWAH,1581810,80,19772.625
UTTAR PRADESH,AURAIYA,1379545,66,20902.196969696968
UTTAR PRADESH,KANPUR DEHAT,1796184,89,20181.842696629214
UTTAR PRADESH,KANPUR NAGAR,4581268,458,10002.768558951964
UTTAR PRADESH,JALAUN,1689974,72,23471.86111111111
UTTAR PRADESH,JHANSI,1998603,145,13783.46896551724
UTTAR PRADESH,LALITPUR,1221592,57,21431.43859649123
UTTAR PRADESH,HAMIRPUR,1104285,56,19719.375
UTTAR PRADESH,MAHOBA,875958,39,22460.46153846154
UTTAR PRADESH,BANDA,1799410,59,30498.474576271186
UTTAR PRADESH,CHITRAKOOT,991730,32,30991.5625
UTTAR PRADESH,FATEHPUR,2632733,102,25811.107843137255
UTTAR PRADESH,PRATAPGARH,3209141,131,24497.25954198473
UTTAR PRADESH,KAUSHAMBI,1599596,84,19042.809523809523
UTTAR PRADESH,ALLAHABAD,5954391,358,16632.377094972067
UTTAR PRADESH,BARA BANKI,3260699,133,24516.533834586466
UTTAR PRADESH,FAIZABAD,2470996,151,16364.211920529802
UTTAR PRADESH,AMBEDKAR NAGAR,2397888,110,21798.98181818182
UTTAR PRADESH,SULTANPUR,3797117,90,42190.188888888886
UTTAR PRADESH,BAHRAICH,3487731,90,38752.566666666666
UTTAR PRADESH,SHRAWASTI,1117361,37,30198.945945945947
UTTAR PRADESH,BALRAMPUR,2148665,69,31140.072463768116
UTTAR PRADESH,GONDA,3433919,121,28379.495867768594
UTTAR PRADESH,SIDDHARTHNAGAR,2559297,83,30834.90361445783
UTTAR PRADESH,BASTI,2464464,98,25147.591836734693
UTTAR PRADESH,SANT KABIR NAGAR,1715183,59,29070.898305084746
UTTAR PRADESH,MAHRAJGANJ,2684703,91,29502.23076923077
UTTAR PRADESH,GORAKHPUR,4440895,291,15260.807560137457
UTTAR PRADESH,KUSHINAGAR,3564544,115,30996.034782608695
UTTAR PRADESH,DEORIA,3100946,129,24038.341085271317
UTTAR PRADESH,AZAMGARH,4613913,209,22076.13875598086
UTTAR PRADESH,MAU,2205968,98,22509.877551020407
UTTAR PRADESH,BALLIA,3239774,121,26774.99173553719
UTTAR PRADESH,JAUNPUR,4494204,200,22471.02
UTTAR PRADESH,GHAZIPUR,3620268,182,19891.582417582416
UTTAR PRADESH,CHANDAULI,1952756,97,20131.505154639177
UTTAR PRADESH,VARANASI,3676841,351,10475.330484330485
UTTAR PRADESH,SANT RAVIDAS NAGAR (BHADOHI),1578213,81,19484.11111111111
UTTAR PRADESH,MIRZAPUR,2496970,123,20300.56910569106
UTTAR PRADESH,SONBHADRA,1862559,109,17087.697247706423
UTTAR PRADESH,ETAH,1774480,71,24992.676056338027
UTTAR PRADESH,KANSHIRAM NAGAR,1436719,51,28170.960784313724
BIHAR,PASHCHIM CHAMPARAN,3935042,106,37123.03773584906
BIHAR,PURBA CHAMPARAN,5099371,148,34455.20945945946
BIHAR,SHEOHAR,656246,25,26249.84
BIHAR,SITAMARHI,3423574,99,34581.555555555555
BIHAR,MADHUBANI,4487379,128,35057.6484375
BIHAR,SUPAUL,2229076,76,29329.947368421053
BIHAR,ARARIA,2811569,81,34710.72839506173
BIHAR,KISHANGANJ,1690400,52,32507.69230769231
BIHAR,PURNIA,3264619,139,23486.46762589928
BIHAR,KATIHAR,3071029,108,28435.453703703704
BIHAR,MADHEPURA,2001762,67,29877.044776119405
BIHAR,SAHARSA,1900661,63,30169.222222222223
BIHAR,DARBHANGA,3937385,136,28951.360294117647
BIHAR,MUZAFFARPUR,4801062,225,21338.053333333333
BIHAR,GOPALGANJ,2562012,76,33710.68421052631
BIHAR,SIWAN,3330464,112,29736.285714285714
BIHAR,SARAN,3951862,128,30873.921875
BIHAR,VAISHALI,3495021,129,27093.18604651163
BIHAR,SAMASTIPUR,4261566,161,26469.35403726708
BIHAR,BEGUSARAI,2970541,134,22168.216417910447
BIHAR,KHAGARIA,1666886,57,29243.614035087718
BIHAR,BHAGALPUR,3037766,180,16876.477777777778
BIHAR,BANKA,2034763,76,26773.197368421053
BIHAR,MUNGER,1367765,72,18996.73611111111
BIHAR,LAKHISARAI,1000912,36,27803.11111111111
BIHAR,SHEIKHPURA,636342,30,21211.4
BIHAR,NALANDA,2877653,108,26644.935185185186
BIHAR,PATNA,5838465,656,8900.099085365853
BIHAR,BHOJPUR,2728407,101,27013.930693069306
BIHAR,BUXAR,1706352,73,23374.68493150685
BIHAR,KAIMUR (BHABUA),1626384,62,26232.0
BIHAR,ROHTAS,2959918,107,27662.78504672897
BIHAR,AURANGABAD,2540073,100,25400.73
BIHAR,GAYA,4391418,177,24810.271186440677
BIHAR,NAWADA,2219146,58,38261.137931034486
BIHAR,JAMUI,1760405,47,37455.425531914894
BIHAR,JEHANABAD,1125313,53,21232.32075471698
BIHAR,ARWAL,700843,31,22607.83870967742
SIKKIM,NORTH DISTRICT,43709,11,3973.5454545454545
SIKKIM,WEST DISTRICT,136435,8,17054.375
SIKKIM,SOUTH DISTRICT,146850,23,6384.782608695652
SIKKIM,EAST DISTRICT,283583,49,5787.408163265306
ARUNACHAL PRADESH,TAWANG,49977,8,6247.125
ARUNACHAL PRADESH,WEST KAMENG,83947,11,7631.545454545455
ARUNACHAL PRADESH,EAST KAMENG,78690,6,13115.0
ARUNACHAL PRADESH,PAPUM PARE,176573,40,4414.325
ARUNACHAL PRADESH,UPPER SUBANSIRI,83448,3,27816.0
ARUNACHAL PRADESH,WEST SIANG,112274,4,28068.5
ARUNACHAL PRADESH,EAST SIANG,99214,11,9019.454545454546
ARUNACHAL PRADESH,UPPER SIANG,35320,2,17660.0
ARUNACHAL PRADESH,CHANGLANG,148226,7,21175.14285714286
ARUNACHAL PRADESH,TIRAP,111975,2,55987.5
ARUNACHAL PRADESH,LOWER SUBANSIRI,83030,6,13838.333333333334
ARUNACHAL PRADESH,KURUNG KUMEY,92076,1,92076.0
ARUNACHAL PRADESH,DIBANG VALLEY,8004,1,8004.0
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,54080,4,13520.0
ARUNACHAL PRADESH,LOHIT,145726,5,29145.2
ARUNACHAL PRADESH,ANJAW,21167,2,10583.5
NAGALAND,MON,250260,14,17875.714285714286
NAGALAND,MOKOKCHUNG,194622,17,11448.35294117647
NAGALAND,ZUNHEBOTO,140757,9,15639.666666666666
NAGALAND,WOKHA,166343,10,16634.3
NAGALAND,DIMAPUR,378811,28,13528.964285714286
NAGALAND,PHEK,163418,6,27236.333333333332
NAGALAND,TUENSANG,196596,7,28085.14285714286
NAGALAND,LONGLENG,50484,2,25242.0
NAGALAND,KIPHIRE,74004,2,37002.0
NAGALAND,KOHIMA,267988,29,9240.965517241379
NAGALAND,PEREN,95219,4,23804.75
MANIPUR,SENAPATI,479148,18,26619.333333333332
MANIPUR,TAMENGLONG,140651,5,28130.2
MANIPUR,CHURACHANDPUR,274143,18,15230.166666666666
MANIPUR,BISHNUPUR,237399,13,18261.46153846154
MANIPUR,THOUBAL,422168,12,35180.666666666664
MANIPUR,IMPHAL WEST,517992,46,11260.695652173914
MANIPUR,IMPHAL EAST,456113,24,19004.708333333332
MANIPUR,UKHRUL,183998,9,20444.222222222223
MANIPUR,CHANDEL,144182,4,36045.5
MIZORAM,MAMIT,86364,4,21591.0
MIZORAM,KOLASIB,83955,9,9328.333333333334
MIZORAM,AIZAWL,400309,48,8339.770833333334
MIZORAM,CHAMPHAI,125745,4,31436.25
MIZORAM,SERCHHIP,64937,5,12987.4
MIZORAM,LUNGLEI,161428,8,20178.5
MIZORAM,LAWNGTLAI,117894,4,29473.5
MIZORAM,SAIHA,56574,1,56574.0
TRIPURA,WEST TRIPURA,1725739,121,14262.305785123966
TRIPURA,SOUTH TRIPURA,876001,28,31285.75
TRIPURA,DHALAI,378230,23,16444.782608695652
TRIPURA,NORTH TRIPURA,693947,30,23131.566666666666
MEGHALAYA,WEST GARO HILLS,643291,23,27969.17391304348
MEGHALAYA,EAST GARO HILLS,317917,7,45416.71428571428
MEGHALAYA,SOUTH GARO HILLS,142334,4,35583.5
MEGHALAYA,WEST KHASI HILLS,383461,6,63910.166666666664
MEGHALAYA,RIBHOI,258840,21,12325.714285714286
MEGHALAYA,EAST KHASI HILLS,825922,88,9385.477272727272
MEGHALAYA,JAINTIA HILLS,395124,17,23242.58823529412
ASSAM,KOKRAJHAR,887142,28,31683.64285714286
ASSAM,DHUBRI,1949258,34,57331.117647058825
ASSAM,GOALPARA,1008183,32,31505.71875
ASSAM,BARPETA,1693622,49,34563.71428571428
ASSAM,MORIGAON,957423,29,33014.58620689655
ASSAM,NAGAON,2823768,96,29414.25
ASSAM,SONITPUR,1924110,91,21144.065934065933
ASSAM,LAKHIMPUR,1042137,41,25417.975609756097
ASSAM,DHEMAJI,686133,25,27445.32
ASSAM,TINSUKIA,1327929,93,14278.806451612903
ASSAM,DIBRUGARH,1326335,110,12057.59090909091
ASSAM,SIVASAGAR,1151050,50,23021.0
ASSAM,JORHAT,1092256,70,15603.657142857142
ASSAM,GOLAGHAT,1066888,51,20919.37254901961
ASSAM,KARBI ANGLONG,956313,18,53128.5
ASSAM,DIMA HASAO,214102,15,14273.466666666667
ASSAM,CACHAR,1736617,84,20674.011904761905
ASSAM,KARIMGANJ,1228686,40,30717.15
ASSAM,HAILAKANDI,659296,23,28665.043478260868
ASSAM,BONGAIGAON,738804,30,24626.8
ASSAM,CHIRANG,482162,20,24108.1
ASSAM,KAMRUP,1517542,89,17051.03370786517
ASSAM,KAMRUP METROPOLITAN,1253938,264,4749.765151515152
ASSAM,NALBARI,771639,39,19785.615384615383
ASSAM,BAKSA,950075,16,59379.6875
ASSAM,DARRANG,928500,45,20633.333333333332
ASSAM,UDALGURI,831668,22,37803.09090909091
WEST BENGAL,DARJILING,1846823,165,11192.866666666667
WEST BENGAL,JALPAIGURI,3872846,131,29563.709923664122
WEST BENGAL,KOCH BIHAR,2819086,117,24094.752136752137
WEST BENGAL,UTTAR DINAJPUR,3007134,87,34564.75862068965
WEST BENGAL,DAKSHIN DINAJPUR,1676276,62,27036.709677419356
WEST BENGAL,MALDAH,3988845,136,29329.742647058825
WEST BENGAL,MURSHIDABAD,7103807,274,25926.30291970803
WEST BENGAL,BIRBHUM,3502404,172,20362.81395348837
WEST BENGAL,BARDDHAMAN,7717563,274,28166.28832116788
WEST BENGAL,NADIA,5167600,235,21989.787234042553
WEST BENGAL,NORTH TWENTY FOUR PARGANAS,10009781,651,15376.007680491552
WEST BENGAL,HUGLI,5519145,361,15288.490304709141
WEST BENGAL,BANKURA,3596674,168,21408.77380952381
WEST BENGAL,PURULIYA,2930115,130,22539.346153846152
WEST BENGAL,HAORA,4850029,285,17017.64561403509
WEST BENGAL,KOLKATA,4496694,913,4925.1851040525735
WEST BENGAL,SOUTH TWENTY FOUR PARGANAS,8161961,353,23121.70254957507
WEST BENGAL,PASCHIM MEDINIPUR,5913457,270,21901.692592592593
WEST BENGAL,PURBA MEDINIPUR,5095875,240,21232.8125
JHARKHAND,GARHWA,1322784,49,26995.591836734693
JHARKHAND,CHATRA,1042886,50,20857.72
JHARKHAND,KODARMA,716259,51,14044.29411764706
JHARKHAND,GIRIDIH,2445474,128,19105.265625
JHARKHAND,DEOGHAR,1492073,101,14773.0
JHARKHAND,GODDA,1313551,72,18243.76388888889
JHARKHAND,SAHIBGANJ,1150567,46,25012.32608695652
JHARKHAND,PAKUR,900422,41,21961.51219512195
JHARKHAND,DHANBAD,2684487,226,11878.261061946903
JHARKHAND,BOKARO,2062330,167,12349.281437125748
JHARKHAND,LOHARDAGA,461790,31,14896.451612903225
JHARKHAND,PURBI SINGHBHUM,2293919,213,10769.57276995305
JHARKHAND,PALAMU,1939869,70,27712.414285714287
JHARKHAND,LATEHAR,726978,33,22029.636363636364
JHARKHAND,HAZARIBAGH,1734495,133,13041.315789473685
JHARKHAND,RAMGARH,949443,85,11169.917647058823
JHARKHAND,DUMKA,1321442,79,16727.113924050635
JHARKHAND,JAMTARA,791042,44,17978.227272727272
JHARKHAND,RANCHI,2914253,360,8095.147222222222
JHARKHAND,KHUNTI,531885,32,16621.40625
JHARKHAND,GUMLA,1025213,46,22287.239130434784
JHARKHAND,SIMDEGA,599578,27,22206.59259259259
JHARKHAND,PASHCHIMI SINGHBHUM,1502338,84,17884.97619047619
JHARKHAND,SARAIKELA-KHARSAWAN,1065056,80,13313.2
ODISHA,BARGARH,1481255,97,15270.670103092783
ODISHA,JHARSUGUDA,579505,62,9346.854838709678
ODISHA,SAMBALPUR,1041099,125,8328.792
ODISHA,DEBAGARH,312520,26,12020.0
ODISHA,SUNDARGARH,2093437,177,11827.327683615818
ODISHA,KENDUJHAR,1801733,121,14890.355371900827
ODISHA,MAYURBHANJ,2519738,156,16152.166666666666
ODISHA,BALESHWAR,2320529,151,15367.741721854305
ODISHA,BHADRAK,1506337,91,16553.153846153848
ODISHA,KENDRAPARA,1440361,84,17147.154761904763
ODISHA,JAGATSINGHAPUR,1136971,96,11843.447916666666
ODISHA,CUTTACK,2624470,283,9273.74558303887
ODISHA,JAJAPUR,1827192,130,14055.323076923078
ODISHA,DHENKANAL,1192811,79,15098.87341772152
ODISHA,ANUGUL,1273821,101,12612.089108910892
ODISHA,NAYAGARH,962789,75,12837.186666666666
ODISHA,KHORDHA,2251673,460,4894.941304347826
ODISHA,PURI,1698730,134,12677.089552238805
ODISHA,GANJAM,3529031,281,12558.829181494662
ODISHA,GAJAPATI,577817,40,14445.425
ODISHA,KANDHAMAL,733110,46,15937.173913043478
ODISHA,BAUDH,441162,31,14231.032258064517
ODISHA,SUBARNAPUR,610183,37,16491.432432432433
ODISHA,BALANGIR,1648997,94,17542.521276595744
ODISHA,NUAPADA,610382,37,16496.81081081081
ODISHA,KALAHANDI,1576869,81,19467.51851851852
ODISHA,RAYAGADA,967911,61,15867.393442622952
ODISHA,NABARANGAPUR,1220946,38,32130.157894736843
ODISHA,KORAPUT,1379647,67,20591.746268656716
ODISHA,MALKANGIRI,613192,29,21144.55172413793
CHHATTISGARH,KORIYA,658917,15,43927.8
CHHATTISGARH,SURGUJA,2359886,94,25105.17021276596
CHHATTISGARH,JASHPUR,851669,42,20277.833333333332
CHHATTISGARH,RAIGARH,1493984,82,18219.317073170732
CHHATTISGARH,KORBA,1206640,63,19153.015873015873
CHHATTISGARH,JANJGIR - CHAMPA,1619707,74,21887.932432432433
CHHATTISGARH,BILASPUR,2663629,131,20333.045801526718
CHHATTISGARH,KABEERDHAM,822526,31,26533.09677419355
CHHATTISGARH,RAJNANDGAON,1537133,47,32704.957446808512
CHHATTISGARH,DURG,3343872,219,15268.82191780822
CHHATTISGARH,RAIPUR,4063872,289,14061.840830449826
CHHATTISGARH,MAHASAMUND,1032754,52,19860.653846153848
CHHATTISGARH,DHAMTARI,799781,49,16322.061224489797
CHHATTISGARH,UTTAR BASTAR KANKER,748941,38,19708.973684210527
CHHATTISGARH,BASTAR,1413199,78,18117.9358974359
CHHATTISGARH,NARAYANPUR,139820,7,19974.285714285714
CHHATTISGARH,DAKSHIN BASTAR DANTEWADA,533638,24,22234.916666666668
CHHATTISGARH,BIJAPUR,255230,23,11096.95652173913
MADHYA PRADESH,SHEOPUR,687861,21,32755.285714285714
MADHYA PRADESH,MORENA,1965970,67,29342.83582089552
MADHYA PRADESH,BHIND,1703005,58,29362.155172413793
MADHYA PRADESH,GWALIOR,2032036,188,10808.702127659575
MADHYA PRADESH,DATIA,786754,40,19668.85
MADHYA PRADESH,SHIVPURI,1726050,48,35959.375
MADHYA PRADESH,TIKAMGARH,1445166,26,55583.307692307695
MADHYA PRADESH,CHHATARPUR,1762375,64,27537.109375
MADHYA PRADESH,PANNA,1016520,36,28236.666666666668
MADHYA PRADESH,SAGAR,2378458,132,18018.621212121212
MADHYA PRADESH,DAMOH,1264219,46,27483.021739130436
MADHYA PRADESH,SATNA,2228935,72,30957.430555555555
MADHYA PRADESH,REWA,2365106,87,27185.126436781607
MADHYA PRADESH,UMARIA,644758,25,25790.32
MADHYA PRADESH,NEEMUCH,826067,46,17957.978260869564
MADHYA PRADESH,MANDSAUR,1340411,70,19148.72857142857
MADHYA PRADESH,RATLAM,1455069,92,15815.967391304348
MADHYA PRADESH,UJJAIN,1986864,138,14397.565217391304
MADHYA PRADESH,SHAJAPUR,1512681,55,27503.29090909091
MADHYA PRADESH,DEWAS,1563715,77,20307.987012987014
MADHYA PRADESH,DHAR,2185793,104,21017.240384615383
MADHYA PRADESH,INDORE,3276697,417,7857.786570743406
MADHYA PRADESH,KHARGONE (WEST NIMAR),1873046,85,22035.835294117645
MADHYA PRADESH,BARWANI,1385881,58,23894.5
MADHYA PRADESH,RAJGARH,1545814,66,23421.424242424244
MADHYA PRADESH,VIDISHA,1458875,83,17576.807228915663
MADHYA PRADESH,BHOPAL,2371061,378,6272.648148148148
MADHYA PRADESH,SEHORE,1311332,99,13245.777777777777
MADHYA PRADESH,RAISEN,1331597,79,16855.6582278481
MADHYA PRADESH,BETUL,1575362,108,14586.685185185184
MADHYA PRADESH,HARDA,570465,46,12401.41304347826
MADHYA PRADESH,HOSHANGABAD,1241350,98,12666.836734693878
MADHYA PRADESH,KATNI,1292042,76,17000.552631578947
MADHYA PRADESH,JABALPUR,2463289,257,9584.782101167315
MADHYA PRADESH,NARSIMHAPUR,1091854,74,14754.783783783783
MADHYA PRADESH,DINDORI,704524,25,28180.96
MADHYA PRADESH,MANDLA,1054905,48,21977.1875
MADHYA PRADESH,CHHINDWARA,2090922,93,22483.032258064515
MADHYA PRADESH,SEONI,1379131,50,27582.62
MADHYA PRADESH,BALAGHAT,1701698,76,22390.763157894737
MADHYA PRADESH,GUNA,1241519,51,24343.50980392157
MADHYA PRADESH,ASHOKNAGAR,845071,41,20611.48780487805
MADHYA PRADESH,SHAHDOL,1066063,45,23690.28888888889
MADHYA PRADESH,ANUPPUR,749237,34,22036.382352941175
